Country,League,Season,round,Date,Time,Home,Away,HG,AG,HxG,AxG,HExpG+,AExpG+,Res,PSCH,PSCD,PSCA
Mexico,Liga MX,2023/2024,6,2023/08/26,02:00,Puebla,FC Juarez,1,0,1.3,0.5,1.165,0.275,H,2.36,3.58,3.08
Mexico,Liga MX,2023/2024,6,2023/08/26,04:10,Tijuana,Mazatlan,1,1,0.8,0.4,0.89,0.67,D,1.9,3.98,3.97
Mexico,Liga MX,2023/2024,6,2023/08/27,02:00,Club America,Leon,1,1,1.6,0.7,1.33,0.835,D,1.88,4.1,3.92
Mexico,Liga MX,2023/2024,6,2023/08/27,04:05,Santos Laguna,Guadalajara,2,1,1.7,0.9,1.835,0.945,H,2.29,3.61,3.15
Mexico,Liga MX,2023/2024,6,2023/08/27,23:00,Necaxa,Queretaro,0,1,0.4,1.6,0.22,1.33,A,2.47,3.34,3.09
Mexico,Liga MX,2023/2024,6,2023/08/27,00:00,Atlas,Toluca,0,0,0.9,0.8,0.495,0.44,D,1.97,3.72,3.96
Mexico,Liga MX,2023/2024,6,2023/08/28,03:05,Monterrey,Cruz Azul,1,2,1.4,1.3,1.22,1.615,A,1.57,4.63,5.62
Mexico,Liga MX,2023/2024,6,2023/08/28,01:05,UNAM Pumas,Tigres UANL,2,1,1.8,0.4,1.89,0.67,H,3.1,3.51,2.38
Mexico,Liga MX,2023/2024,6,2023/08/29,04:10,Pachuca,Atletico San Luis,0,2,0.9,1.7,0.495,1.835,A,1.97,3.98,3.7
Mexico,Liga MX,2023/2024,5,2023/08/31,02:00,Toluca,Monterrey,1,0,0.5,1.2,0.725,0.66,H,2.38,3.9,2.85
Mexico,Liga MX,2023/2024,5,2023/08/31,02:06,Queretaro,Atlas,1,2,1.2,0.8,1.11,1.34,A,3.73,3.19,2.24
Mexico,Liga MX,2023/2024,5,2023/08/31,04:00,Tigres UANL,Santos Laguna,3,2,2.3,1.7,2.615,1.835,H,1.89,3.87,4.13
Mexico,Liga MX,2023/2024,7,2023/09/02,02:06,FC Juarez,Mazatlan,3,1,1.4,1.5,2.12,1.275,H,1.95,3.77,3.97
Mexico,Liga MX,2023/2024,7,2023/09/02,04:10,Puebla,Tijuana,3,0,1.1,1.5,1.955,0.825,H,2.06,3.8,3.56
Mexico,Liga MX,2023/2024,7,2023/09/03,02:00,Santos Laguna,UNAM Pumas,2,1,1.8,0.9,1.89,0.945,H,1.88,4.13,3.91
