Team,Attack,Defense,Const,HomeAdv,Matches,WeightedMatches,Date
Beijing Guoan,0.31825870579955856,-0.11359112448952499,0.24534785194607545,0.2874713786038203,53,41.16603407987752,2026-09-06
Changchun Yatai,-0.47220979549046127,0.10082487776366175,0.24534785194607545,0.2874713786038203,28,18.360774350530605,2026-09-06
Chengdu Rongcheng,0.3395642707953863,-0.3269151173700104,0.24534785194607545,0.2874713786038203,53,41.06488317729963,2026-09-06
Chongqing Tonglianglong,-0.4411557031154609,-0.20138162773717952,0.24534785194607545,0.2874713786038203,25,22.71247268524741,2026-09-06
Dalian Yingbo,-0.10113051276643603,-0.07260802144314471,0.24534785194607545,0.2874713786038203,54,42.134229101469664,2026-09-06
Henan Songshan Longmen,0.09321958531736749,-0.1103976375551517,0.24534785194607545,0.2874713786038203,52,40.16462972471149,2026-09-06
Liaoning Tieren,-0.01534059885971094,0.1600769259818663,0.24534785194607545,0.2874713786038203,25,22.767798530983313,2026-09-06
Meizhou Hakka,-0.1713476687999876,0.331784834445903,0.24534785194607545,0.2874713786038203,27,17.661429050160052,2026-09-06
Qingdao Hainiu,-0.09349465819391385,0.16814603120500415,0.24534785194607545,0.2874713786038203,52,40.429235880854975,2026-09-06
Qingdao West Coast,-0.16429270256983183,-0.10570036500489674,0.24534785194607545,0.2874713786038203,53,41.13900861687608,2026-09-06
Shandong Taishan,0.2635335020826714,0.01302800209689266,0.24534785194607545,0.2874713786038203,53,41.360533743002804,2026-09-06
Shanghai Port,0.19735767118877132,-0.09309246964998971,0.24534785194607545,0.2874713786038203,54,42.14234688391212,2026-09-06
Shanghai Shenhua,0.32811131949504035,-0.11564487417975869,0.24534785194607545,0.2874713786038203,52,40.13003452326278,2026-09-06
Shenzhen Xinpengcheng,-0.15872145915687383,0.13697574260690612,0.24534785194607545,0.2874713786038203,54,42.09083911857398,2026-09-06
Tianjin Jinmen Tiger,-0.17515652875184762,-0.08136396290031128,0.24534785194607545,0.2874713786038203,52,40.12448457307566,2026-09-06
Wuhan Three Towns,0.01669698826075755,0.1608807560946647,0.24534785194607545,0.2874713786038203,51,39.17703058140227,2026-09-06
Yunnan Yukun,0.1296723247994423,0.10909966859308715,0.24534785194607545,0.2874713786038203,53,41.360523712504396,2026-09-06
Zhejiang Professional,0.10643525996552865,0.03987836154198202,0.24534785194607545,0.2874713786038203,51,39.15051545741314,2026-09-06
