Date,Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability,Home -2,Home -1,Away -2,Away -1
2026-09-12,Beijing Guoan,Changchun Yatai,0.7775809013929472,0.14302768631871507,0.07939141228833749,0.3433899173147,0.5627495503334857,0.004057325470620341,0.020526562297077448
2026-09-12,Beijing Guoan,Chengdu Rongcheng,0.4037599028572344,0.23220343692527723,0.36403666021748826,0.08561836594637746,0.2062345172307549,0.07012063331484121,0.17758817890829148
2026-09-12,Beijing Guoan,Chongqing Tonglianglong,0.6526333124134166,0.20898816033473522,0.1383785272518482,0.19820705157747615,0.3996161120985133,0.00847384467747855,0.03933582867397942
2026-09-12,Beijing Guoan,Dalian Yingbo,0.634719117799789,0.1968543451266436,0.16842653707356747,0.21197426729536753,0.40302530799083003,0.016123453120026394,0.058853200142092825
2026-09-12,Beijing Guoan,Henan Songshan Longmen,0.5573818267739874,0.2130052299097595,0.22961294331625293,0.16430586383163867,0.3330372236749393,0.02978790631894609,0.0926637262229523
2026-09-12,Beijing Guoan,Liaoning Tieren,0.7119686127168777,0.15733639441471234,0.13069499286841027,0.3065993301378999,0.5053304339589365,0.013092414572613554,0.04626751923058791
2026-09-12,Beijing Guoan,Meizhou Hakka,0.8140420827066954,0.1119967484004098,0.07396116889289477,0.44035592247519517,0.6398405112458813,0.005601719234310659,0.022804762237992292
2026-09-12,Beijing Guoan,Qingdao Hainiu,0.7353120054910811,0.1495338120786866,0.11515418243023241,0.3285960433613483,0.5312059490728491,0.010370364009817102,0.03875661175730243
2026-09-12,Beijing Guoan,Qingdao West Coast,0.6440599264161974,0.19622790559733908,0.1597121679864638,0.21544963071172288,0.4097354510840307,0.014141955946049964,0.053819123857925234
2026-09-12,Beijing Guoan,Shandong Taishan,0.5729343499011793,0.1933321422258608,0.23373350787296002,0.19597597038455267,0.36440571606657285,0.03725474661374888,0.1032262760758099
2026-09-12,Beijing Guoan,Shanghai Port,0.5454258745532541,0.2078815191622117,0.24669260628453427,0.16581250805105652,0.329534218570529,0.03692087737428634,0.106227237085369
2026-09-12,Beijing Guoan,Shanghai Shenhua,0.49967310773025336,0.20896260550806559,0.2913642867616808,0.14544038748922655,0.29485911324895897,0.053102199078430265,0.13746574102725453
2026-09-12,Beijing Guoan,Shenzhen Xinpengcheng,0.7369877270049662,0.15179702033231968,0.111215252662714,0.3226084394430607,0.5283105943995592,0.00915400375478185,0.03592867805052602
2026-09-12,Beijing Guoan,Tianjin Jinmen Tiger,0.6507850519075828,0.1949302954945267,0.1542846525978903,0.2192130485988564,0.4155457095927436,0.013095945890027771,0.050967719859787985
2026-09-12,Beijing Guoan,Wuhan Three Towns,0.707842642559033,0.15594734621340936,0.13621001122755763,0.30939018054564665,0.5050204871369064,0.014843903660156145,0.05010349993913525
