Team,Attack,Defense,Const,HomeAdv,Matches,WeightedMatches,Date
Atlante,-0.01701013132824713,0.020360177388106408,0.1711865937182309,0.2637567214947695,10,9.516910698697647,2026-09-25
Atlas,-0.08748600262640618,0.09143282596039329,0.1711865937182309,0.2637567214947695,73,44.09645697106511,2026-09-25
Atletico San Luis,-0.03489120043740966,0.1141477423389857,0.1711865937182309,0.2637567214947695,71,41.89238496105521,2026-09-25
Club America,0.16049393781611096,-0.28820512623929534,0.1711865937182309,0.2637567214947695,84,48.12518721996346,2026-09-25
Cruz Azul,0.1954478111112508,-0.17207456621851902,0.1711865937182309,0.2637567214947695,86,51.60070131580598,2026-09-25
FC Juarez,-0.08243163156058356,0.19074540193604983,0.1711865937182309,0.2637567214947695,73,43.78281313012597,2026-09-25
Guadalajara,0.15323809300251393,-0.20083503327646085,0.1711865937182309,0.2637567214947695,75,45.72186104571767,2026-09-25
Leon,-0.0869042052209523,0.08102470596544367,0.1711865937182309,0.2637567214947695,70,41.728815055497954,2026-09-25
Mazatlan,-0.18237690557687797,0.20877968948773062,0.1711865937182309,0.2637567214947695,59,32.207202640581784,2026-09-25
Monterrey,0.15806239496436028,0.017471869329061335,0.1711865937182309,0.2637567214947695,81,47.106393887856115,2026-09-25
Necaxa,-0.0190216757241995,0.13638796825257526,0.1711865937182309,0.2637567214947695,70,41.67417073122675,2026-09-25
Pachuca,0.026326370128387084,-0.15832839406357396,0.1711865937182309,0.2637567214947695,77,46.70252546019301,2026-09-25
Puebla,-0.28553033215867596,0.13391772099407862,0.1711865937182309,0.2637567214947695,67,40.377523309650776,2026-09-25
Queretaro,-0.17479045692157627,-0.006272407119162075,0.1711865937182309,0.2637567214947695,66,39.47949889180935,2026-09-25
Santos Laguna,-0.1599294457106892,0.23914893312838742,0.1711865937182309,0.2637567214947695,68,40.75959221726425,2026-09-25
Tigres UANL,0.06609927527037718,-0.2018171495677092,0.1711865937182309,0.2637567214947695,82,48.91344131282759,2026-09-25
Tijuana,0.06674139031021123,0.03420283309093951,0.1711865937182309,0.2637567214947695,75,44.14189755199735,2026-09-25
Toluca,0.2920836970130928,-0.22836787913208495,0.1711865937182309,0.2637567214947695,84,49.835909475493885,2026-09-25
UNAM Pumas,0.05895857215271288,-0.06116656694392218,0.1711865937182309,0.2637567214947695,79,47.97936425415912,2026-09-25
