Date,Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability,Home -1.5,Home -1.25,Home -1,Home -0.75,Home -0.5,Home -0.25,Home 0.25,Home 0.5,Home 0.75,Home 1,Home 1.25,Home 1.5,Away -1.5,Away -1.25,Away -1,Away -0.75,Away -0.5,Away -0.25,Away 0.25,Away 0.5,Away 0.75,Away 1,Away 1.25,Away 1.5
2026-09-20,Atlante,Atlas,0.4624355384048478,0.26313541019120623,0.27442905140394613,0.22705321860329322,0.22705321860329322,0.22705321860329322,0.3447443785040705,0.4624355384048478,0.4624355384048478,0.594003243500451,0.7255709485960541,0.7255709485960541,0.7255709485960541,0.8110386926855322,0.8965064367750104,0.10349356322498966,0.10349356322498966,0.10349356322498966,0.1889613073144679,0.27442905140394613,0.27442905140394613,0.40599675649954925,0.5375644615951524,0.5375644615951524,0.5375644615951524,0.6552556214959296,0.7729467813967069
2026-09-20,Atlante,Atletico San Luis,0.4508789897085929,0.2575841795243682,0.29153683076703896,0.2228690455461491,0.2228690455461491,0.2228690455461491,0.336874017627371,0.4508789897085929,0.4508789897085929,0.579671079470777,0.708463169232961,0.708463169232961,0.708463169232961,0.7961309644540341,0.8837987596751071,0.11620124032489298,0.11620124032489298,0.11620124032489298,0.20386903554596597,0.29153683076703896,0.29153683076703896,0.42032892052922305,0.5491210102914071,0.5491210102914071,0.5491210102914071,0.663125982372629,0.7771309544538509
2026-09-20,Atlante,Club America,0.2681161591996396,0.27042628360864984,0.46145755719171067,0.09727876678535931,0.09727876678535931,0.09727876678535931,0.18269746299249945,0.2681161591996396,0.2681161591996396,0.40332930100396447,0.5385424428082893,0.5385424428082893,0.5385424428082893,0.6583836804884977,0.7782249181687061,0.2217750818312941,0.2217750818312941,0.2217750818312941,0.3416163195115024,0.46145755719171067,0.46145755719171067,0.5966706989960355,0.7318838408003604,0.7318838408003604,0.7318838408003604,0.8173025370075007,0.9027212332146408
2026-09-20,Atlante,Cruz Azul,0.2921230384170749,0.2618052956426418,0.44607166594028336,0.11497423365484896,0.11497423365484896,0.11497423365484896,0.2035486360359619,0.2921230384170749,0.2921230384170749,0.4230256862383958,0.5539283340597168,0.5539283340597168,0.5539283340597168,0.6684976370649445,0.7830669400701723,0.2169330599298278,0.2169330599298278,0.2169330599298278,0.3315023629350556,0.44607166594028336,0.44607166594028336,0.5769743137616041,0.707876961582925,0.707876961582925,0.707876961582925,0.796451363964038,0.8850257663451511
2026-09-20,Atlante,FC Juarez,0.49386697116005035,0.2485459302161012,0.25758709862384843,0.25840417001568383,0.25840417001568383,0.25840417001568383,0.37613557058786706,0.49386697116005035,0.49386697116005035,0.6181399362681008,0.7424129013761513,0.7424129013761513,0.7424129013761513,0.8221760188783951,0.9019391363806388,0.09806086361936124,0.09806086361936124,0.09806086361936124,0.17782398112160483,0.25758709862384843,0.25758709862384843,0.381860063731899,0.5061330288399496,0.5061330288399496,0.5061330288399496,0.6238644294121329,0.7415958299843162
2026-09-20,Atlante,Guadalajara,0.2956695122284742,0.2690200474027389,0.435310440368787,0.11452379464515948,0.11452379464515948,0.11452379464515948,0.20509665343681685,0.2956695122284742,0.2956695122284742,0.4301795359298437,0.5646895596312131,0.5646895596312131,0.5646895596312131,0.6796610768878996,0.794632594144586,0.20536740585541421,0.20536740585541421,0.20536740585541421,0.3203389231121006,0.435310440368787,0.435310440368787,0.5698204640701565,0.7043304877715261,0.7043304877715261,0.7043304877715261,0.7949033465631834,0.8854762053548408
2026-09-20,Atlante,Leon,0.4523392174797638,0.2631114503248308,0.28454933219540546,0.22031737853286695,0.22031737853286695,0.22031737853286695,0.33632829800631536,0.4523392174797638,0.4523392174797638,0.5838949426421791,0.7154506678045945,0.7154506678045945,0.7154506678045945,0.8028480736727388,0.890245479540883,0.10975452045911706,0.10975452045911706,0.10975452045911706,0.19715192632726125,0.28454933219540546,0.28454933219540546,0.41610505735782083,0.5476607825202362,0.5476607825202362,0.5476607825202362,0.6636717019936846,0.7796826214671331
2026-09-20,Atlante,Mazatlan,0.521818415573952,0.24804268265458793,0.2301389017714601,0.2776385706573797,0.2776385706573797,0.2776385706573797,0.39972849311566583,0.521818415573952,0.521818415573952,0.645839756901246,0.7698610982285399,0.7698610982285399,0.7698610982285399,0.8441894557062588,0.9185178131839777,0.08148218681602219,0.08148218681602219,0.08148218681602219,0.15581054429374114,0.2301389017714601,0.2301389017714601,0.3541602430987541,0.47818158442604813,0.47818158442604813,0.47818158442604813,0.6002715068843343,0.7223614293426204
2026-09-20,Atlante,Monterrey,0.35713636980526975,0.25880122722582083,0.3840624029689094,0.15864499669471896,0.15864499669471896,0.15864499669471896,0.25789068324999437,0.35713636980526975,0.35713636980526975,0.4865369834181802,0.6159375970310906,0.6159375970310906,0.6159375970310906,0.7195865615200023,0.8232355260089139,0.17676447399108594,0.17676447399108594,0.17676447399108594,0.28041343847999767,0.3840624029689094,0.3840624029689094,0.5134630165818198,0.6428636301947301,0.6428636301947301,0.6428636301947301,0.7421093167500056,0.841355003305281
2026-09-20,Atlante,Necaxa,0.4553251604148205,0.2538319822374622,0.29084285734771737,0.22836140749138323,0.22836140749138323,0.22836140749138323,0.3418432839531019,0.4553251604148205,0.4553251604148205,0.5822411515335516,0.7091571426522827,0.7091571426522827,0.7091571426522827,0.7959750610443446,0.8827929794364064,0.11720702056359336,0.11720702056359336,0.11720702056359336,0.20402493895565538,0.29084285734771737,0.29084285734771737,0.4177588484664484,0.5446748395851795,0.5446748395851795,0.5446748395851795,0.6581567160468982,0.7716385925086168
