fixture_id,round,match_date,match_time,kickoff_at,home_team,away_team,home_win_prob,draw_prob,away_win_prob,debias_method,home_odds,draw_odds,away_odds,bookmaker,market,regions,last_update,fetched_at,onexbet_open_home_odds,onexbet_open_draw_odds,onexbet_open_away_odds,onexbet_open_home_ev,onexbet_open_draw_ev,onexbet_open_away_ev,onexbet_open_last_update,duel_open_home_odds,duel_open_draw_odds,duel_open_away_odds,duel_open_home_ev,duel_open_draw_ev,duel_open_away_ev,duel_open_last_update,best_open_home_odds,best_open_draw_odds,best_open_away_odds,best_open_home_ev,best_open_draw_ev,best_open_away_ev,best_open_home_book,best_open_draw_book,best_open_away_book,open_home_odds,open_draw_odds,open_away_odds,open_last_update,signal_pick,signal_state,signal_book,signal_books
CSL-2026-25-2026-08-28-dalian-yingbo-beijing-guoan,25,2026-08-28,11:35,2026-08-28T12:35:00+01:00,Dalian Yingbo,Beijing Guoan,0.2941159286568292,0.2481054900234062,0.4577785813197645,market_anchor,3.06,3.83,2.14,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,3.125,3.82,2.12,-0.08088772294740887,-0.05223702811058828,-0.02950940760209919,2026-08-23T12:43:30.931Z,3.25,3.95,2.12,-0.0441232318653052,-0.019983314407545416,-0.02950940760209919,2026-08-23T12:22:04.288Z,3.25,3.95,2.12,-0.0441232318653052,-0.019983314407545416,-0.02950940760209919,duel,duel,onexbet,3.03,3.78,2.12,2026-08-23T12:30:50Z,,,,
CSL-2026-25-2026-08-28-shanghai-shenhua-shandong-taishan,25,2026-08-28,11:35,2026-08-28T12:35:00+01:00,Shanghai Shenhua,Shandong Taishan,0.5504281216806876,0.22826212294898493,0.22130975537032732,market_anchor,1.76,4.2,3.93,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,1.816,4.12,3.82,-0.00042253102787137564,-0.059560053450182115,-0.15459673448534972,2026-08-22T12:35:41.933Z,1.85,4.3,3.9,0.01829202510927197,-0.018472871319364814,-0.13689195405572352,2026-08-22T12:44:57.302Z,1.85,4.3,3.9,0.01829202510927197,-0.018472871319364814,-0.13689195405572352,duel,duel,duel,1.79,4.1,3.76,2026-08-22T12:53:34Z,,,,
CSL-2026-25-2026-08-28-shenzhen-xinpengcheng-shanghai-port,25,2026-08-28,12:00,2026-08-28T13:00:00+01:00,Shenzhen Xinpengcheng,Shanghai Port,0.2661023747936798,0.2519954738677024,0.48190215133861775,market_anchor,3.24,3.77,2.08,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,3.22,3.82,2.07,-0.14315035316435099,-0.037377289825376914,-0.002462546729061321,2026-08-23T12:05:39.648Z,3.35,3.9,2.1,-0.10855704444117253,-0.017217651915960697,0.011994517811097394,2026-08-23T12:08:58.671Z,3.35,3.9,2.1,-0.10855704444117253,-0.017217651915960697,0.011994517811097394,duel,duel,duel,3.2,3.72,2.06,2026-08-23T11:54:42Z,,,,
CSL-2026-25-2026-08-29-qingdao-hainiu-wuhan-three-towns,25,2026-08-29,09:00,2026-08-29T10:00:00+01:00,Qingdao Hainiu,Wuhan Three Towns,0.44573896004070795,0.27935582670552783,0.2749052132537642,market_anchor,2.64,3.4,2.62,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,2.625,3.42,2.625,0.17006477010685828,-0.044603072667094845,-0.27837381520886895,2026-08-23T12:05:39.648Z,2.68,3.5,2.68,0.19458041290909733,-0.022254606530652588,-0.26325402847991186,2026-08-23T11:46:48.988Z,2.68,3.5,2.68,0.19458041290909733,-0.022254606530652588,-0.26325402847991186,duel,duel,duel,2.61,3.36,2.6,2026-08-23T11:54:42Z,,,,
CSL-2026-25-2026-08-29-tianjin-jinmen-tiger-qingdao-west-coast,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Tianjin Jinmen Tiger,Qingdao West Coast,0.45920340530392145,0.2731727083805778,0.2676238863155008,market_anchor,1.99,3.47,3.77,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,1.992,3.42,3.84,-0.08526681663458846,-0.06574933733842403,0.027675723451523027,2026-08-22T12:35:41.933Z,2.04,3.7,3.7,-0.06322505318000027,0.010739021008137728,-0.009791620632646936,2026-08-22T12:23:48.006Z,2.04,3.7,3.84,-0.06322505318000027,0.010739021008137728,0.027675723451523027,duel,duel,onexbet,1.97,3.43,3.73,2026-08-22T12:53:34Z,,,,
CSL-2026-25-2026-08-29-zhejiang-professional-yunnan-yukun,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Zhejiang Professional,Yunnan Yukun,0.4924886084785181,0.23811643125200369,0.2693949602694782,market_anchor,2.12,3.9,3.05,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,2.04,4.12,3.125,0.00467676129617689,-0.018960303241744803,-0.15814074915788068,2026-08-22T12:35:41.933Z,2.0,4.5,3.2,-0.015022783042963783,0.07152394063401668,-0.13793612713766978,2026-08-22T12:31:51.27Z,2.04,4.5,3.2,0.00467676129617689,0.07152394063401668,-0.13793612713766978,onexbet,duel,duel,2.03,3.93,3.11,2026-08-22T12:53:34Z,,,,
CSL-2026-25-2026-08-29-chengdu-rongcheng-liaoning-tieren,25,2026-08-29,11:35,2026-08-29T12:35:00+01:00,Chengdu Rongcheng,Liaoning Tieren,0.7376607905038642,0.16028821937510046,0.10205099012103534,market_anchor,1.3,5.88,8.0,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,1.3,5.95,8.5,-0.0410409723449765,-0.04628509471815223,-0.13256658397119958,2026-08-23T12:05:39.648Z,1.33,6.2,8.4,-0.01891114862986054,-0.0062130398743771575,-0.14277168298330312,2026-08-23T11:16:38.284Z,1.33,6.2,8.5,-0.01891114862986054,-0.0062130398743771575,-0.13256658397119958,duel,duel,onexbet,1.29,5.8,7.81,2026-08-23T11:20:36Z,,,,
CSL-2026-25-2026-08-29-henan-songshan-longmen-chongqing-tonglianglong,25,2026-08-29,12:00,2026-08-29T13:00:00+01:00,Henan Songshan Longmen,Chongqing Tonglianglong,0.5711146152020087,0.24189422843343195,0.18699115636455932,market_anchor,1.61,3.9,5.38,pinnacle,h2h,us,2026-08-24T00:36:44Z,2026-08-24T00:36:51Z,1.632,3.92,5.3,-0.06794094799032191,-0.051774624540946834,-0.008946871267835665,2026-08-23T12:43:30.931Z,1.66,4.0,5.4,-0.05194973876466569,-0.032423086266272216,0.009752244368620433,2026-08-23T12:26:05.994Z,1.66,4.0,5.4,-0.05194973876466569,-0.032423086266272216,0.009752244368620433,duel,duel,duel,1.6,3.85,5.29,2026-08-23T12:30:50Z,,,,
