Team,Attack,Defense,Const,HomeAdv,Matches,WeightedMatches,Date
Beijing Guoan,0.32580907265909576,-0.1717525981787674,0.24277704885200882,0.2895785902381908,53,41.04962837711798,2026-08-21
Changchun Yatai,-0.4797237485110483,0.12785995700710776,0.24277704885200882,0.2895785902381908,30,19.85976241104381,2026-08-21
Chengdu Rongcheng,0.3277355243415535,-0.3361885959182036,0.24277704885200882,0.2895785902381908,53,40.964360926819396,2026-08-21
Chongqing Tonglianglong,-0.3869563502927902,-0.17606425954783594,0.24277704885200882,0.2895785902381908,23,21.11094061262188,2026-08-21
Dalian Yingbo,-0.0790301535199727,-0.032511471121002,0.24277704885200882,0.2895785902381908,53,41.035401197777105,2026-08-21
Henan Songshan Longmen,0.07933025491881432,-0.12867549657953864,0.24277704885200882,0.2895785902381908,52,40.046748602525575,2026-08-21
Liaoning Tieren,-0.01138585073063484,0.11540028560440344,0.24277704885200882,0.2895785902381908,22,20.149108363997833,2026-08-21
Meizhou Hakka,-0.16583316033087148,0.3708972895018927,0.24277704885200882,0.2895785902381908,29,19.148881003188972,2026-08-21
Qingdao Hainiu,-0.10251454191374425,0.1318651907644606,0.24277704885200882,0.2895785902381908,52,40.26365576519357,2026-08-21
Qingdao West Coast,-0.14423380602445116,-0.07084843011394475,0.24277704885200882,0.2895785902381908,53,41.04099996045272,2026-08-21
Shandong Taishan,0.28627943258075944,0.015100090325806129,0.24277704885200882,0.2895785902381908,52,40.24865673495547,2026-08-21
Shanghai Port,0.21983606931150212,-0.053976749750059595,0.24277704885200882,0.2895785902381908,53,41.04366642331039,2026-08-21
Shanghai Shenhua,0.3043767646038325,-0.1554538773891388,0.24277704885200882,0.2895785902381908,53,41.01195730734183,2026-08-21
Shenzhen Xinpengcheng,-0.17290412073370434,0.17400649255901998,0.24277704885200882,0.2895785902381908,53,40.99281142128961,2026-08-21
Tianjin Jinmen Tiger,-0.11805998577445775,-0.09279577152700204,0.24277704885200882,0.2895785902381908,52,40.007463178175456,2026-08-21
Wuhan Three Towns,-0.04419203645263337,0.16445716633202379,0.24277704885200882,0.2895785902381908,51,39.04280527101778,2026-08-21
Yunnan Yukun,0.09495505086058052,0.09237867306068902,0.24277704885200882,0.2895785902381908,52,40.2466228211421,2026-08-21
Zhejiang Professional,0.06651158500817037,0.02630210497008935,0.24277704885200882,0.2895785902381908,52,39.979858801390805,2026-08-21
